excel_row,no_sap,vendor,reason,item_pekerjaan,level_1,level_2,level_3
1297,2020016015,KURNIATI SAMUDI,No classification rule matched,"Cetak kartu nama BOC
Cetak materi RUPS PT HK TB 2025",Corporate Support Services,"Printing, Document & Records Services","Printing, scanning, archiving, shredding, document control, dan records storage."
1305,2020015793,LAILI,No classification rule matched,Penyelesaian Defect,Construction Services,Specialist Construction Works,rehabilitation.
1326,2020010266,LAW FIRM ARIFIN PRATAMA & PART,No classification rule matched,Pbyrn th1 Arifin pratama prabumulih,Engineering-Profesional Service,Project & Construction Management Consultancy,"project control,"
1334,2020005904,LEMBAGA MANAGEMENT UNIVERSITAS,No classification rule matched,"Brevet AB 21 Peserta
Chatered Financial Analyssis Level 1 202
Brevet C 19 Peserta",Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1337,2020013501,LEMBAGA PENGEMBANGAN PERBANKAN,No classification rule matched,"FLMDP Termin 3 Tahun 2024
MMDP Termin 3 Tahun 2024",Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1338,2020016105,LEMBAGA PENYELIDIKAN EKONOMI D,No classification rule matched,Kajian Dampak Eko & Sos Ruas Pekdum,Engineering & Professional Services,"Environmental, Social & Sustainability Consultancy","social impact,"
1382,2020011509,M RIZA PERDANA KUSUMA SE,No classification rule matched,Biaya Narasumber MPP,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1395,2020001298,MAGDATAMA KARYA USAHA,No classification rule matched,"Upah Pemasangan Ekspansion Joint
Upah Bobok Ekspansion Joint
Expansion Joint
Sambungan Siar Muai Tipe Strip Seal
Upah Bobok Ekspansion Join",Construction Services,Bridge & Elevated Structure Works,expansion joint
1423,2020009371,MARGANA SADANA ADIWANGSA,No classification rule matched,Penyediaan & Implementasi HCIS 5,Corporate Support Services,Human Resources & Recruitment Services,HR consultancy.
1432,2020014498,MARRY CATURIANI WARISSAM,No classification rule matched,"Instalasi Ruang Genset
Instalasi Genset
Pek. Lapis Rockwool_JK",Equipment & Plant,Power Generation & Temporary Utilities Equipment,"Genset,"
1433,2020012709,MARSONO,No classification rule matched,Upah Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
1434,2020015526,MARTHEN RIYANDI WIBOWO,No classification rule matched,Fasilitas Pengguna Jasa,Utilities and Energy,Electricity Supply & Distribution,"Pasokan listrik, sambungan, distribusi, metering, dan layanan kelistrikan utilitas."
1485,2020014499,MIMI AGUSTINA,No classification rule matched,Pek. General Cleaning_JK_M2,Corporate Support Services,"Cleaning, Pest Control & Hygiene Services","Cleaning,  sanitasi, washroom service, dan pengelolaan kebersihan."
1491,2020003626,MITRA ANDESIT SEJAHTERA,No classification rule matched,Water Tanker Truck,Utilities and Energy,Water Supply,dan distribusi air.
1518,2020006173,MITRALAB BUANA,No classification rule matched,"Pekerjaan Pemantauan Lingkungan Hidup
Pembersihan area kerja","Construction Services
Engineering & Professional Services","Site Preparation & Demolition
Environmental, Social & Sustainability Consultancy","Pembersihan lahan
biodiversity, dan"
1538,2020010399,MOHAMAD MACHMUD,No classification rule matched,"Upah Harian Logistik
Pembersihan area kerja",Construction Services,Site Preparation & Demolition,Pembersihan lahan
1539,2020007542,UMAR ROHADI,No classification rule matched,"Pek. Kebersihan dan Kerapihan (JK)
Pek. Kebersihan dan Kerapihan",Corporate Support Services,"Cleaning, Pest Control & Hygiene Services","Cleaning,  sanitasi, washroom service, dan pengelolaan kebersihan."
1555,2020013560,MUHAIMIN,No classification rule matched,Pek. Dewatering_JK_LS,Construction Services,Earthworks & Ground Improvement,"dewatering,"
1582,2020010121,MUJIYONO,No classification rule matched,Pembongkaran Bangunan & Pengosongan Laha,Construction Services,Site Preparation & Demolition,"pembongkaran,"
1586,2020014126,MULIAWAN,No classification rule matched,Bathimetri_Muliawan,Engineering & Professional Services,"Surveying, Mapping & Geospatial Services","hydrographic survey,"
1594,2020010328,MULTI UTAMA INDOJASA,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
1617,2020013531,NALURI HIDUP INDONESIA,No classification rule matched,"Employee Well Being Termin 1
Employee Well Being Termin 2
Employee Well Being Termin 3
Employee Well Being Termin 4
Mental Health Advocary Training",Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1626,2020013839,NATASYA HESTI MAULIDNA,No classification rule matched,Soil Investigastion,Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
1628,2020012056,NAVITAS INDONESIA,No classification rule matched,Mandatory Spare Parts (USD+IDR),Equipment & Plant,"Spare Parts, Tyres & Equipment Consumables","Suku cadang,"
1655,2020011925,NUR KHALIM,No classification rule matched,Pekerjaan Proteksi Lereng,Construction Services,Specialist Construction Works,"strengthening,"
1669,2020006372,NURWADI,No classification rule matched,Upah Harian Survey,Engineering & Professional Services,"Surveying, Mapping & Geospatial Services","Topografi,"
1673,2020010850,NUSA ANTARA JAYATAMA,No classification rule matched,Subkon Jasa Supervisi test dan commision,Engineering & Professional Services,Project & Construction Management Consultancy,"construction management,
supervision,"
1674,2020008115,NUSA BUANA CIPTA,No classification rule matched,RPD - Kons Andal RKL RPL TIP Permai,Engineering & Professional Services,"Environmental, Social & Sustainability Consultancy",perizinan lingkungan.
1680,2020010991,NYOTO PRIYO UTOMO,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
1691,2020010369,ORIENTAL CONSULTANTS GLOBAL CO,No classification rule matched,"Kontrak Coreteam Paltung
Add II Pengawas Coreteam Paltung",Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
1728,2020001328,PEMERINGKATAN EFEK INDONESIA (,No classification rule matched,Pby Penfindo 2025,Corporate Support Services,"Banking, Insurance & Risk Services","Perbankan, surety, asuransi, broker, risk survey, dan loss adjusting."
1734,2020006477,PERENTJANA DJAJA,No classification rule matched,"Kontrak PMI TIP Pekdum
Addendum V PMI Binjai - Langsa
ADD V PMI Binjai - Pangkalan Brandan
ADD VI PMI Binbran
Add I TIP Pengawas Pekdum
Add VII PMI Binjai - Langsa
Add I Pengawas Paltung Prioritas 1&2
Pengawas Paltung Transisi Prioritas 1&2
Add II Pengawas Paltung Prioritas 1&2
Add III Pengawas Paltung Prioritas 1&2",Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
1738,2020013262,PERKUMPULAN AHLI KESELAMATAN K,No classification rule matched,Assessment Personil QHSSE,Corporate Support Services,Human Resources & Recruitment Services,"assessment,"
1744,2020012922,PERSEKUTUAN PERDATA HERDINN CO,No classification rule matched,"Jasa Supervisi Sengketa Pajak PT Bhirawa
Jasa Pendampingan PK Sengketa JORRS ATP","Engineering & Professional Services
Corporate Support Services","Project & Construction Management Consultancy
Finance, Accounting & Tax Services","construction management,
supervision,
Accounting,"
1746,2020011681,PERTAMINA TRAINING & CONSULTIN,No classification rule matched,Pelatihan Protocol Services Okt 15 org,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1750,2020008658,PETRO UTAMA ENERGI,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
1756,2020013519,PILAR AFLAHA SEJAHTERA NUSANTA,No classification rule matched,Pembersihan area kerja,Construction Services,Site Preparation & Demolition,Pembersihan lahan
1764,2020008635,PLN (PERSERO),No classification rule matched,"Biaya Penyambungan Listrik Sepanjang Jal
Relokasi Utilitas PLN Interchange",Utilities and Energy,Electricity Supply & Distribution,"Pasokan listrik, sambungan, distribusi, metering, dan layanan kelistrikan utilitas."
1775,2020011073,PRASETIYA MULYA ELI,No classification rule matched,"Inhouse CBM Business Management 24 Org
Inhouse CBM Financial Management 32 org
CBM General Business Management",Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1800,2020013843,PT AGAF GLOBAL KREASINDO,No classification rule matched,PT Agaf Global Kreasindo BA 643-2,Equipment and Plant,,
1801,2020012238,PT AKSARA JUARA NUSANTARA,No classification rule matched,Pelatihan KPI Masterclass,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1805,2020011328,PT ARGHANIAGA PANCATUNGGAL,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
1814,2020004545,PT BINAMAN UTAMA,No classification rule matched,"Kurikulum Berbasis Kompetensi Tahap 2
Asesmen SKD BUMN",Corporate Support Services,Human Resources & Recruitment Services,"assessment,"
1816,2020015289,PT BRINGIN SEJAHTERA MAKMUR PI,No classification rule matched,"Asuransi All Risk 11150111250000000551
Asuransi All Risk 11150103250000000725",Corporate Support Services,"Banking, Insurance & Risk Services","Perbankan, surety, asuransi, broker, risk survey, dan loss adjusting."
1836,2020005207,PT GEOFORCE INDONESIA,No classification rule matched,"INSTRUMEN GEOTEKNIK
Pekerjaan Monitoring Instrumen Geoteknik",Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
1853,2020011777,PT JUSTITIA GLOBAL MANDIRI,No classification rule matched,"Sertifikasi Ahli Kontrak Konstruksi
Certified Contract Dafter Batch II 2024",Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
1857,2020009191,PT KIMIA FARMA DIAGNOSTIKA,No classification rule matched,"Biaya MCU PKWT
MCU Calon Karyawan PKWT 3
MCU Calon Karyawan PKWT 7
MCU Calon Karyawan PKWT 5
Medical Check Up PKWT 8 Peserta
Pembelian Obat Klinik bulan Juni 2024
MCU Calon Karyawan PKWT 9
Medical Check Up PKWT 5 Peserta
MCU Calon PKWT 3 Org
MCU Calon PKWT 11 Org
MCU Calon PKWT Des 25
MCU Calon PKWT 12 Org",Corporate Support Services,Medical & Occupational Health Services,"Klinik, medical check-up, occupational health, ambulance, dan tenaga medis."
1859,2020012290,PT KWARTAPUTRA SENTRA SINDO,No classification rule matched,Pasangan fire stop pada shaft,Construction Services,Specialist Construction Works,"grouting,"
1860,2020012355,PT KWARTAPUTRA SENTRA SINDO,No classification rule matched,Pekerjaan Firestop,Construction Services,Specialist Construction Works,"grouting,"
1893,2020006704,PT REKAYASA GEOTEKNIK INDONESI,No classification rule matched,"Pekerjaan Bore Log
Pek. Soil Investigation_JK_LS",Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
1946,2020012518,PT. CITO DIAGNOSTIKA UTAMA,No classification rule matched,"Environmental Monitoring & Report
Pemantauan Lingkungan Hidup",Engineering & Professional Services,"Environmental, Social & Sustainability Consultancy","biodiversity, dan"
1954,2020014054,PT. DISABILITAS KERJA INDONESI,No classification rule matched,Termin 1 Blueprint Karyawan Disabilitas,Corporate Support Services,Human Resources & Recruitment Services,HR consultancy.
1963,2020010393,PT. GLOBAL MULTINDO TEKNOLOGI,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
1967,2020012091,PT. HAYYU TIRTA SEJAHTERA,No classification rule matched,Bio Solar,Utilities and Energy,Fuel Supply,"Solar Industri,"
1979,2010000026,PT. KERETA API INDONESIA (PERS,No classification rule matched,"RSP - Pengawasan Jalur KAI II
RSP - Pengawasan Jalur KAI III",Engineering & Professional Services,Project & Construction Management Consultancy,"construction management,
supervision,"
1980,2020012257,PT. KESATRIA NUSA KENCANA,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
1984,2020014539,PT. MANDIRI TANGGUH PERKASA IN,No classification rule matched,"GENSET 100KVA
Generator Set (Genset)",Equipment & Plant,Power Generation & Temporary Utilities Equipment,"Genset,"
2035,2020005005,EFENDI,No classification rule matched,Jasa Air Bersih (JK),Utilities and Energy,Water Supply,"Air bersih,"
2048,2020010904,PT.ELIDA MANDALAHI JAYA,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
2064,2020000573,GEOTECH EFATHAMA,No classification rule matched,"Mob/demob.Alat
Dynamic loading test for Cast-in-place R
Pek. Soil Investigation_JK_LS
Pengujian pada tiang uk/ dia.800 mm Jeni",Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
2066,2020012473,PUSAT JASA KEARSIPAN,No classification rule matched,Jasa Pembuatan Pedoman Kearsipan Tingkat,Corporate Support Services,"Printing, Document & Records Services","Printing, scanning, archiving, shredding, document control, dan records storage."
2067,2020010441,PUSDIKLATPASSUS KOPASSUS,No classification rule matched,"Bela Negara PIP 56 Org Termin 1
Bela Negara PIP 56 Org Termin 2
Bela Negara Dasar 83 Orang Termin 1
Bela Negara Dasar 83 Orang Termin 2",Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
2068,2020009677,PUSDIKZI,No classification rule matched,Pusdikzi angkatan XIX - XX,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
2084,2020006653,PUTRI WIRAKANYATAMA,No classification rule matched,Penyambungan,Utilities and Energy,Electricity Supply & Distribution,"Pasokan listrik, sambungan, distribusi, metering, dan layanan kelistrikan utilitas."
2086,2020013149,QAWI MULTI KONSTRUKSI,No classification rule matched,Jasa Pembongakaran Gedung_JK_LS,Construction Services,Site Preparation & Demolition,"pembongkaran,"
2152,2020012503,RISAL,No classification rule matched,Beban Air Kerja,Utilities and Energy,Water Supply,"Air bersih,"
2162,2020006764,RODA NURMALA,No classification rule matched,Pekerjaan Tangki Solar,Utilities and Energy,Fuel Supply,"Fuel storage,"
2220,2020009246,SAMUDRA ARTA BERSAMA,No classification rule matched,Beban Bahan Bakar & Pelumas,Utilities and Energy,"Fuel Supply
Lubricants & Industrial Fluids","Solar Industri,
Oli mesin,"
2298,2020001585,SETIA BUDI,No classification rule matched,Pekerjaan onshore & offshore (tahap 5),Construction Services,Marine & Coastal Works,"Jetty,"
2300,2020011028,SHERLY,No classification rule matched,"Revisi Buku Lesson Learned edisi 2
Produksi Bantal AKHLAK
Pembuatan Lego & Tas Lipat
Kaos AKHLAK
Pin AKHLAK CA 2025",Corporate Support Services,"Marketing, Branding & Communication Services","Branding & advertising,"
2307,2020012403,SILUET NYOMAN NUARTA,No classification rule matched,"Pek. Artwork Garuda Take Off 1
Pek. Artwork Garuda Take Off 2
Pek. Artwork Garuda Take Off 3",Corporate Support Services,"Marketing, Branding & Communication Services","Branding & advertising,"
2334,2020015666,SITI YULIANTI,No classification rule matched,Penyelesaian Defect,Construction Services,Specialist Construction Works,rehabilitation.
2340,2020012022,SOILENS,No classification rule matched,"Dermaga
Pengeboran, termasuk SPT dan Laporan
Soil Invest
Pengujian pada tiang uk/ dia.800 mm Jeni
Pengujian Tanah","Construction Services
Engineering & Professional Services","Marine & Coastal Works
Geotechnical & Geological Engineering","dermaga,
Investigasi tanah,"
2341,2020012827,SOKO GURU ENGINEERING,No classification rule matched,Digital Survey,Engineering & Professional Services,"Surveying, Mapping & Geospatial Services",pemetaan drone.
2425,2020014558,SUNARTO,No classification rule matched,Penyambungan Aliran Listrik (SLO),Utilities and Energy,Electricity Supply & Distribution,"Pasokan listrik, sambungan, distribusi, metering, dan layanan kelistrikan utilitas."
2431,2020012982,SUPARDI,No classification rule matched,"Penyelesaian Defect
Swakelola",Construction Services,Specialist Construction Works,rehabilitation.
2451,2020014547,SURUNG SIANTURI,No classification rule matched,Pendampingan Pegujian Efektifitas ICOFR,Corporate Support Services,"Finance, Accounting & Tax Services","audit support,"
2463,2020009000,SUTRISNO,No classification rule matched,PBR (biaya operasi),Utilities and Energy,Fuel Supply,"Solar Industri,"
2465,2020015119,SUTRISNO,No classification rule matched,"SAMBUNGAN DAYA PLN
PEKERJAAN INSTALASI GENSET",Utilities and Energy,Electricity Supply & Distribution,"Pasokan listrik, sambungan, distribusi, metering, dan layanan kelistrikan utilitas."
2477,2020001784,SUYOTO,No classification rule matched,Pekerja,Corporate Support Services,Human Resources & Recruitment Services,"manpower outsourcing,"
2481,2020013247,SYAFRIANDI,No classification rule matched,Pelatihan Planning & Schedulling,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
2492,2020008411,TALENTAMAJU USAHABERSAMA,No classification rule matched,Grouting Strength 450 Kg/Cm2,Construction Services,Specialist Construction Works,"grouting,"
2493,2020001804,TAMAN BUKIT MAS,No classification rule matched,"Bio Solar
Solar industri
Bensin",Utilities and Energy,Fuel Supply,"Solar Industri,"
2507,2020011082,TAUFIK RUSWANDI,No classification rule matched,Pek. Persiapan dan Pek. Normalisasi Akhi,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
2509,2020014246,TAUPAN PARIJ NASRULSYAH,No classification rule matched,Pekerjaan Repair / Redoing,Construction Services,Specialist Construction Works,rehabilitation.
2526,2020014238,THRESIA HOSANNA SUMUAL,No classification rule matched,Biaya Katering,Corporate Support Services,Catering & Food Services,"Katering kantor/proyek, canteen management, meal box, dan pantry operation."
2527,2020007372,THYSSENKRUPP INDUSTRIAL SOLUTI,No classification rule matched,"Supervisi Thyssenkrup Polysius PTE, LTD",Engineering & Professional Services,Project & Construction Management Consultancy,"construction management,
supervision,"
2528,2020010247,THYSSENKRUPP INDUSTRIAL SOLUTI,No classification rule matched,Additional Supervisi,Engineering & Professional Services,Project & Construction Management Consultancy,"construction management,
supervision,"
2531,2020010528,TIARA COMPUTINDO MEGAH,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
2557,2020015584,TOTOK SUDIANTO,No classification rule matched,Upah Pek. Shotcrete,Construction Services,Specialist Construction Works,"strengthening,"
2583,2020001894,TUKIMAN,No classification rule matched,Pekerjaan Proteksi Lereng,Construction Services,Specialist Construction Works,"strengthening,"
2584,2020015790,TUKIMAN,No classification rule matched,Pekerjaan Proteksi Lereng,Construction Services,Specialist Construction Works,"strengthening,"
2587,2020003457,TUNAS JAYA CIPTA,No classification rule matched,Subkon Pekerjaan Total,Construction Services,Specialist Construction Works,"Pekerjaan khusus seperti tunnelling,"
2595,2020011600,UD BERSATU,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
2600,2020012393,UJANG SURYANA,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
2604,2020008839,ULTRA DELTA MAJU,No classification rule matched,Mandatory Spare Parts (USD+IDR),Equipment & Plant,"Spare Parts, Tyres & Equipment Consumables","Suku cadang,"
2626,2020013941,VERDIANSYAH,No classification rule matched,Pekerjaan Sondir,Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
2647,2020007610,WAHANA PERENCANA PERSADA,No classification rule matched,Biaya Desain Interchange,Engineering & Professional Services,Civil & Structural Engineering,"design review,"
